Customer_ID,Date,Category,Merchant_Name,Amount,Gender,Birthdate,City
a87d6f605c4290e,2025-06-28,Alimentación,Mercadona,133.77,F,1991-04-30,La Rioja
4f6fdccef6d5880,2025-07-24,Salud,MiFarma,64.22,NB,1962-08-10,Córdoba
af966a700734822,2025-09-09,Hogar,LeroyMerlin,72.93,M,1964-09-13,La Rioja
9b0b10782856899,2025-06-15,Gasolineras,Gasolinera LowCost,42.71,NB,1974-03-07,Badajoz
1a9ed165061854d,2025-10-25,Gasolineras,Gasolinera LowCost,43.2,M,1991-03-07,Santa Cruz de Tenerife
c20de55e55a06bf,2024-12-21,Transporte, Cabify ,38.93,F,1953-06-12,Salamanca
c76f38178e9517f,2025-06-10,Moda,Modas Paqui,6.91,F,1956-01-17,Burgos
a44f8bb6187ea1a,2025-08-08,Restauración,Vips,70.83,F,1968-05-04,Ceuta
4cd39f01c05df3a,2025-03-02,Hogar,pccomponentes,9.91,F,1988-02-29,Ciudad
00997268d925e86,2025-12-11,Salud,Farmacia,28.4,NB,1990-10-15,Valencia
a7e42a06441e381,2025-09-26,Restauración,Vips,72.09,NB,1974-05-09,Madrid
c4b8788e0a18b6a,2025-08-09,Salud,Farmacia,19.19,F,1988-08-12,Baleares
d9d3d1162c4170a,2025-10-14,Alimentación,Carrefour,100.85,F,2003-05-27,Barcelona
9080f7e0bc55f4d,2025-04-27,Ocio,Yelmo Cines,5.29,M,1951-03-26,Badajoz
c6022dc6a53da82,23/10/2025,Alimentación,Lidl,167.58,NB,1961-02-03,Cantabria
3b298dc7f8dc876,2025-07-06,Transporte,Bicimad,77.15,NB,1989-09-04,Zamora
8c1848743d2faa1,2025-10-23,Moda,El Corte Inglés,60.96,M,2001-10-26,Vizcaya
49de16549e54287,2025-02-12,Hogar,PcComponentes,22.85,F,1972-04-21,Teruel
759b549f95f7c80,2025-10-27,Gasolineras,Plenoil,57.76,M,1966-05-04,Ciudad
422f76e014df430,2025-05-26,Transporte,Iberia,493.47,F,1973-02-09,Almería
efc64cd54750a75,2025-07-19,Moda,H&M,19.49,M,1965-08-09,Navarra
c0b9c3f37f1c33d,2025-12-01,Hogar,MediaMarkt,45.26,M,1958-05-23,Melilla
c93bc64384cf227,2025-07-20,Restauración,Burger King,61.14,F,1980-09-09,La Coruña
514c21bd78428be,2025-05-29,Alimentación,Hipercor,157.76,F,2002-06-27,Pontevedra
